radius,degree,feature_scale_px,detection_rate,detection_magnitude,white_noise_gain,threshold
20,11,4,1.00000000000000000e+00,9.02935314868016925e-02,3.48123956430274658e-03,1.63610727991004949e-03
20,11,8,1.00000000000000000e+00,2.28832691017278017e-01,3.48123956430274658e-03,1.63610727991004949e-03
20,11,16,1.00000000000000000e+00,4.25999089581526047e-02,3.48123956430274658e-03,1.63610727991004949e-03
20,11,32,1.00000000000000000e+00,4.64272468718300926e-02,3.48123956430274658e-03,1.63610727991004949e-03
20,11,64,1.00000000000000000e+00,5.33953682266171716e-03,3.48123956430274658e-03,1.63610727991004949e-03
20,11,128,0.00000000000000000e+00,7.01626040073354216e-08,3.48123956430274658e-03,1.63610727991004949e-03
20,11,256,0.00000000000000000e+00,7.38144254298577410e-08,3.48123956430274658e-03,1.63610727991004949e-03
25,11,2,1.00000000000000000e+00,1.15916085625581700e-02,1.42973997912281166e-03,1.04851187240610506e-03
25,11,4,1.00000000000000000e+00,4.61808182122823568e-02,1.42973997912281166e-03,1.04851187240610506e-03
25,11,8,1.00000000000000000e+00,1.39703507498903590e-01,1.42973997912281166e-03,1.04851187240610506e-03
25,11,16,1.00000000000000000e+00,1.34318358748160588e-01,1.42973997912281166e-03,1.04851187240610506e-03
25,11,32,1.00000000000000000e+00,5.22278232882083318e-02,1.42973997912281166e-03,1.04851187240610506e-03
25,11,64,1.00000000000000000e+00,1.42975076346156613e-02,1.42973997912281166e-03,1.04851187240610506e-03
25,11,128,0.00000000000000000e+00,3.88126983043233948e-08,1.42973997912281166e-03,1.04851187240610506e-03
25,11,256,0.00000000000000000e+00,7.36741816207983052e-08,1.42973997912281166e-03,1.04851187240610506e-03
32,11,2,1.00000000000000000e+00,4.97223247086278717e-03,5.36579701044535276e-04,6.42335524342235601e-04
32,11,4,1.00000000000000000e+00,2.02968287296912131e-02,5.36579701044535276e-04,6.42335524342235601e-04
32,11,8,1.00000000000000000e+00,6.93588024268128323e-02,5.36579701044535276e-04,6.42335524342235601e-04
32,11,16,1.00000000000000000e+00,1.29910334622448942e-01,5.36579701044535276e-04,6.42335524342235601e-04
32,11,32,1.00000000000000000e+00,7.36649070495075109e-02,5.36579701044535276e-04,6.42335524342235601e-04
32,11,64,1.00000000000000000e+00,1.79546895433062501e-02,5.36579701044535276e-04,6.42335524342235601e-04
32,11,128,0.00000000000000000e+00,4.40964337741349184e-08,5.36579701044535276e-04,6.42335524342235601e-04
32,11,256,0.00000000000000000e+00,5.37389426432911927e-08,5.36579701044535276e-04,6.42335524342235601e-04
40,11,2,1.00000000000000000e+00,2.18895210096458964e-03,2.19488043208888449e-04,4.10818748342767388e-04
40,11,4,1.00000000000000000e+00,9.06438194535526265e-03,2.19488043208888449e-04,4.10818748342767388e-04
40,11,8,1.00000000000000000e+00,3.31388314544831253e-02,2.19488043208888449e-04,4.10818748342767388e-04
40,11,16,1.00000000000000000e+00,8.39291032616359955e-02,2.19488043208888449e-04,4.10818748342767388e-04
40,11,32,1.00000000000000000e+00,8.44170470224478615e-03,2.19488043208888449e-04,4.10818748342767388e-04
40,11,64,1.00000000000000000e+00,2.22302911524608487e-02,2.19488043208888449e-04,4.10818748342767388e-04
