frequency_cyc_px,orientation_deg,mag_error,phase_error,snr_or_severity
3.12500000000000000e-02,90.000000,-1.70858808261708794e-02,3.97071392404413359e-04,1000
6.25000000000000000e-02,90.000000,-2.72079995842194722e-01,7.10104923393295451e-04,1000
1.25000000000000000e-01,90.000000,-7.63082183584871232e-01,1.09323492489998841e-03,1000
2.50000000000000000e-01,90.000000,-1.56313533100335689e+00,-3.14151707736415897e+00,1000
1.56250000000000000e-02,95.000000,-6.79729511022367228e-04,7.18011598985768273e-05,1000
3.12500000000000000e-02,95.000000,-1.74857418942529763e-02,-1.14533236059699561e-05,1000
6.25000000000000000e-02,95.000000,-2.72738528236078415e-01,-3.99296059119258473e-05,1000
1.25000000000000000e-01,95.000000,-7.62780231091367167e-01,5.24409860380714576e-05,1000
2.50000000000000000e-01,95.000000,-1.56396686877407221e+00,3.14156626253361004e+00,1000
1.56250000000000000e-02,100.000000,-7.13923515263503727e-04,-4.03035099987292256e-05,1000
3.12500000000000000e-02,100.000000,-1.76516989475334896e-02,1.15611106510371542e-05,1000
6.25000000000000000e-02,100.000000,-2.74052977943142650e-01,-3.13150780542059692e-05,1000
1.25000000000000000e-01,100.000000,-7.61909759130653952e-01,-2.11502175986311158e-05,1000
2.50000000000000000e-01,100.000000,-1.56531869761276399e+00,3.14157878575364968e+00,1000
1.56250000000000000e-02,105.000000,-6.72135661959533115e-04,1.53288747029023398e-07,1000
3.12500000000000000e-02,105.000000,-1.78415608797488079e-02,2.07728717449562339e-05,1000
6.25000000000000000e-02,105.000000,-2.76056262234710748e-01,-3.01138763072472671e-05,1000
1.25000000000000000e-01,105.000000,-7.60807954389145169e-01,-7.07811840650052204e-05,1000
2.50000000000000000e-01,105.000000,-1.56495535538006658e+00,-3.14156980454667911e+00,1000
1.56250000000000000e-02,110.000000,-6.65772526551922095e-04,-7.46715365425032473e-05,1000
3.12500000000000000e-02,110.000000,-1.81326246536796243e-02,1.22823061854404614e-06,1000
6.25000000000000000e-02,110.000000,-2.78510361214153623e-01,-1.62328848007931015e-05,1000
1.25000000000000000e-01,110.000000,-7.59916437970414527e-01,1.43406518562372298e-05,1000
2.50000000000000000e-01,110.000000,-1.56589447060189269e+00,-3.14157822076786086e+00,1000
1.56250000000000000e-02,115.000000,-6.88522172228173135e-04,-1.33411394162230579e-04,1000
3.12500000000000000e-02,115.000000,-1.84301958204048100e-02,-8.37810562526186686e-05,1000
6.25000000000000000e-02,115.000000,-2.81123599466007734e-01,5.84270002050857329e-05,1000
1.25000000000000000e-01,115.000000,-7.59379793358725408e-01,1.68697819962204676e-05,1000
2.50000000000000000e-01,115.000000,-1.57002002362720816e+00,-3.14143210540911610e+00,1000
1.56250000000000000e-02,120.000000,-6.91228580714853269e-04,-5.80164319075038293e-06,1000
3.12500000000000000e-02,120.000000,-1.86822128864991555e-02,1.41416433203644942e-05,1000
6.25000000000000000e-02,120.000000,-2.83573994047895073e-01,-1.26169590475733173e-04,1000
1.25000000000000000e-01,120.000000,-7.58872074252437412e-01,-4.17463799724515638e-05,1000
2.50000000000000000e-01,120.000000,-1.57027467185161251e+00,3.14118776219468021e+00,1000
1.56250000000000000e-02,125.000000,-6.97621971455744672e-04,-5.90349846527615796e-05,1000
3.12500000000000000e-02,125.000000,-1.88927471129126945e-02,4.76016297463743854e-05,1000
6.25000000000000000e-02,125.000000,-2.85542674864464385e-01,5.81970027058176242e-05,1000
1.25000000000000000e-01,125.000000,-7.58057306183825275e-01,-5.44892907559102468e-05,1000
2.50000000000000000e-01,125.000000,-1.56757312950808902e+00,-3.14157134805416494e+00,1000
1.56250000000000000e-02,130.000000,-7.07919227680986474e-04,6.57987830834372289e-05,1000
3.12500000000000000e-02,130.000000,-1.90382428301196227e-02,-5.89286610770400898e-05,1000
6.25000000000000000e-02,130.000000,-2.86838673385544529e-01,-8.65883454181926027e-05,1000
1.25000000000000000e-01,130.000000,-7.57138755149615816e-01,1.13291884194843817e-04,1000
2.50000000000000000e-01,130.000000,-1.56974710913299376e+00,3.14141395861330963e+00,1000
1.56250000000000000e-02,135.000000,-7.16761101125257261e-04,7.73730222198842910e-05,1000
3.12500000000000000e-02,135.000000,-1.91095418567734376e-02,-1.99796279729547166e-05,1000
6.25000000000000000e-02,135.000000,-2.87279535450064460e-01,2.89534229773735774e-05,1000
1.25000000000000000e-01,135.000000,-7.56719414599207219e-01,-2.10070619433011530e-06,1000
2.50000000000000000e-01,135.000000,-1.56902209198163778e+00,5.70871006475570653e-05,1000
1.56250000000000000e-02,140.000000,-7.13506550107226301e-04,-2.09253787604168906e-05,1000
3.12500000000000000e-02,140.000000,-1.90404837500169344e-02,-1.87555037678421854e-05,1000
6.25000000000000000e-02,140.000000,-2.86824588007498771e-01,1.09031983276164368e-04,1000
1.25000000000000000e-01,140.000000,-7.57137758270527650e-01,-6.41504051497321370e-05,1000
2.50000000000000000e-01,140.000000,-1.56974721866837563e+00,3.14140273559845351e+00,1000
1.56250000000000000e-02,145.000000,-7.03264347098678244e-04,-4.42211822635485419e-05,1000
3.12500000000000000e-02,145.000000,-1.88926048803670921e-02,1.66887343162613888e-04,1000
6.25000000000000000e-02,145.000000,-2.85541148116083443e-01,-5.29672786093726700e-05,1000
1.25000000000000000e-01,145.000000,-7.58057176514672637e-01,-7.85012696589149073e-05,1000
2.50000000000000000e-01,145.000000,-1.56757327456828222e+00,-3.14154556310709321e+00,1000
1.56250000000000000e-02,150.000000,-7.04622722122141831e-04,1.50063616484175100e-05,1000
3.12500000000000000e-02,150.000000,-1.86737770912800138e-02,1.37940714166617795e-05,1000
6.25000000000000000e-02,150.000000,-2.83558272649380161e-01,-5.19582733327084156e-05,1000
1.25000000000000000e-01,150.000000,-7.58867982138198727e-01,-7.85273492640570225e-05,1000
2.50000000000000000e-01,150.000000,-1.57027471231143956e+00,-3.14148295614620654e+00,1000
1.56250000000000000e-02,155.000000,-6.76249208789073131e-04,1.10436298496274787e-04,1000
3.12500000000000000e-02,155.000000,-1.84261449134509314e-02,-2.44978121850536468e-05,1000
6.25000000000000000e-02,155.000000,-2.81126293910673619e-01,-5.16000317238862749e-05,1000
1.25000000000000000e-01,155.000000,-7.59377064244824096e-01,-5.76206188895866944e-06,1000
2.50000000000000000e-01,155.000000,-1.57001991644034877e+00,-3.14148341554645061e+00,1000
1.56250000000000000e-02,160.000000,-6.67878551730907710e-04,1.44385562169002668e-04,1000
3.12500000000000000e-02,160.000000,-1.81403794237109395e-02,-2.80251536435294213e-05,1000
6.25000000000000000e-02,160.000000,-2.78513402933975696e-01,-3.47481230296153853e-05,1000
1.25000000000000000e-01,160.000000,-7.59914600002121299e-01,6.93519599241909646e-05,1000
2.50000000000000000e-01,160.000000,-1.56589454703904440e+00,3.14150654265488871e+00,1000
1.56250000000000000e-02,165.000000,-6.68547747106840173e-04,8.36198455465009260e-05,1000
3.12500000000000000e-02,165.000000,-1.78468571727594394e-02,-6.18657760176333227e-05,1000
6.25000000000000000e-02,165.000000,-2.76058240068043026e-01,-1.34782603202765472e-05,1000
