frequency_cyc_px,orientation_deg,mag_error,phase_error,snr_or_severity
3.12500000000000000e-02,145.000000,-1.89078625923527199e-02,-6.96082722804192144e-05,0.1
6.25000000000000000e-02,145.000000,-2.85589595945095531e-01,-3.85936672882003506e-04,0.1
1.25000000000000000e-01,145.000000,-7.58052248221589009e-01,2.17002066127403026e-04,0.1
2.50000000000000000e-01,145.000000,-1.56757334690491090e+00,3.14138247614493160e+00,0.1
1.56250000000000000e-02,150.000000,-7.11522423740035270e-04,1.27902743943586472e-04,0.1
3.12500000000000000e-02,150.000000,-1.86674797478432186e-02,1.34160115624837317e-04,0.1
6.25000000000000000e-02,150.000000,-2.83583602189934780e-01,-1.68176993038393618e-05,0.1
1.25000000000000000e-01,150.000000,-7.58873032171547224e-01,-1.40861805681957719e-05,0.1
2.50000000000000000e-01,150.000000,-1.57027470233381394e+00,-3.14149232253935029e+00,0.1
1.56250000000000000e-02,155.000000,-6.64923332703806769e-04,2.70183488622954826e-04,0.1
3.12500000000000000e-02,155.000000,-1.83786381113098529e-02,-6.01812966580794750e-05,0.1
6.25000000000000000e-02,155.000000,-2.81099676276995225e-01,1.45707673475214960e-04,0.1
1.25000000000000000e-01,155.000000,-7.59380323339854835e-01,2.45717568191583524e-04,0.1
2.50000000000000000e-01,155.000000,-1.57002046840061293e+00,3.14102887384723672e+00,0.1
1.56250000000000000e-02,160.000000,-6.52160530021081430e-04,-2.59588746565064810e-05,0.1
3.12500000000000000e-02,160.000000,-1.81293325323492738e-02,1.84082456593515076e-05,0.1
6.25000000000000000e-02,160.000000,-2.78494825366232379e-01,4.27594810865628006e-05,0.1
1.25000000000000000e-01,160.000000,-7.59911547303201873e-01,-1.07492263491160145e-04,0.1
2.50000000000000000e-01,160.000000,-1.56589569171468179e+00,-3.14136352495288840e+00,0.1
1.56250000000000000e-02,165.000000,-6.37869111133740341e-04,-1.00494871746015235e-04,0.1
3.12500000000000000e-02,165.000000,-1.78117586409096695e-02,-7.21644932859533128e-05,0.1
6.25000000000000000e-02,165.000000,-2.76104362034240713e-01,-4.75446013279423596e-05,0.1
1.25000000000000000e-01,165.000000,-7.60809507967260656e-01,1.66204084954379994e-04,0.1
2.50000000000000000e-01,165.000000,-1.56495326396969126e+00,-3.14151614241941513e+00,0.1
1.56250000000000000e-02,170.000000,-7.19048240709396769e-04,5.36759112312878983e-05,0.1
3.12500000000000000e-02,170.000000,-1.75688248592876795e-02,-1.14182116914829379e-04,0.1
6.25000000000000000e-02,170.000000,-2.74036344134976351e-01,-1.59274623507066337e-04,0.1
1.25000000000000000e-01,170.000000,-7.61911319976192214e-01,-2.07895179436423660e-04,0.1
2.50000000000000000e-01,170.000000,-1.56531917152846356e+00,-3.14157688167551274e+00,0.1
1.56250000000000000e-02,175.000000,-6.63263193073290735e-04,-2.83095909965780379e-04,0.1
3.12500000000000000e-02,175.000000,-1.75088155919563837e-02,1.50762048114927438e-04,0.1
6.25000000000000000e-02,175.000000,-2.72750383707059008e-01,8.00684402282314522e-05,0.1
1.25000000000000000e-01,175.000000,-7.62781191100559641e-01,-2.27584830492233436e-05,0.1
2.50000000000000000e-01,175.000000,-1.56396806195602944e+00,-3.14150867892912800e+00,0.1
1.56250000000000000e-02,0.000000,-8.26643599685816799e-04,4.18865566039094972e-04,0.4
3.12500000000000000e-02,0.000000,-1.70835734842257336e-02,-3.63859389227449981e-04,0.4
6.25000000000000000e-02,0.000000,-2.72127500403550826e-01,6.45077506235214315e-04,0.4
1.25000000000000000e-01,0.000000,-7.63083724727138257e-01,8.48846993734664323e-04,0.4
2.50000000000000000e-01,0.000000,-1.56313984868571110e+00,-3.14112286973734811e+00,0.4
1.56250000000000000e-02,5.000000,-5.82274291410889155e-04,-2.68465108868021218e-04,0.4
3.12500000000000000e-02,5.000000,-1.72968972043842650e-02,9.18681886656003144e-04,0.4
6.25000000000000000e-02,5.000000,-2.72752572072692434e-01,1.40324088306442718e-04,0.4
1.25000000000000000e-01,5.000000,-7.62790836280232587e-01,-4.09688156487675315e-04,0.4
2.50000000000000000e-01,5.000000,-1.56396964792418536e+00,3.14125928223856299e+00,0.4
1.56250000000000000e-02,10.000000,-5.93968799813882065e-04,-1.09530824637715796e-04,0.4
3.12500000000000000e-02,10.000000,-1.78922770715974067e-02,-3.64983627295867308e-04,0.4
6.25000000000000000e-02,10.000000,-2.74007117213366513e-01,1.10790522495562982e-03,0.4
1.25000000000000000e-01,10.000000,-7.61930164309852942e-01,9.39690817676641643e-04,0.4
