frequency_cyc_px,orientation_deg,mag_error,phase_error,snr_or_severity
1.56250000000000000e-02,90.000000,-8.47456631450818620e-04,3.78145535844254255e-05,30 dB
3.12500000000000000e-02,90.000000,-1.70835408055393934e-02,3.97540263983309217e-04,30 dB
6.25000000000000000e-02,90.000000,-2.72092483337634750e-01,7.60789308834830535e-04,30 dB
1.25000000000000000e-01,90.000000,-7.63078781681050033e-01,1.09569786412588854e-03,30 dB
2.50000000000000000e-01,90.000000,-1.56313590857069085e+00,3.14151858145910001e+00,30 dB
1.56250000000000000e-02,95.000000,-6.70547049049577404e-04,1.50215217590066175e-04,30 dB
3.12500000000000000e-02,95.000000,-1.74551429735308183e-02,2.91444793454331830e-06,30 dB
6.25000000000000000e-02,95.000000,-2.72729375382721462e-01,5.40160840989400981e-05,30 dB
1.25000000000000000e-01,95.000000,-7.62782525948429990e-01,-9.17651643472794376e-06,30 dB
2.50000000000000000e-01,95.000000,-1.56396790871445579e+00,3.14156093005567350e+00,30 dB
1.56250000000000000e-02,100.000000,-7.19000874878722440e-04,-7.79886591768530479e-05,30 dB
3.12500000000000000e-02,100.000000,-1.76357099389983230e-02,9.39470435064038156e-05,30 dB
6.25000000000000000e-02,100.000000,-2.74033946300554720e-01,-8.00305670884959852e-05,30 dB
1.25000000000000000e-01,100.000000,-7.61909431058631070e-01,-1.36853438179151965e-04,30 dB
2.50000000000000000e-01,100.000000,-1.56531854215878652e+00,3.14154301294695060e+00,30 dB
1.56250000000000000e-02,105.000000,-6.53323065149521987e-04,2.48450925042220661e-05,30 dB
3.12500000000000000e-02,105.000000,-1.78541281154852016e-02,-6.93918865199982804e-05,30 dB
6.25000000000000000e-02,105.000000,-2.76051471429715922e-01,1.18238575143703173e-04,30 dB
1.25000000000000000e-01,105.000000,-7.60809408738660431e-01,-8.63510023099145485e-05,30 dB
2.50000000000000000e-01,105.000000,-1.56495510135261906e+00,-3.14154990821275559e+00,30 dB
1.56250000000000000e-02,110.000000,-6.74256561773500795e-04,-4.93028747801105283e-05,30 dB
3.12500000000000000e-02,110.000000,-1.81457698143152879e-02,-3.41215319159537955e-05,30 dB
